SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,Spectrum_0
Saving Time : ,2024/06/18 18:23:30
Spectro-Module Model Name :,EE2063S-DUVN4
Spectro-Module Serial Number :,TEST-INSTRUMENT-001
Wavelength Start :,285
Wavelength End :,1100
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,-6.80 °C
-----------Spectrum Setting ------------
Integration Time :,8ms
Average :,50
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
285.34,       1013.278
285.80,       1004.878
286.25,       995.2735
286.71,       988.8533
287.16,       985.9658
287.62,       993.9235
288.07,         1015.3
288.53,       1030.618
288.98,       1064.001
289.44,       1148.803
289.89,       1322.182
290.35,       1398.222
290.80,       1115.948
291.26,       1005.384
291.71,       1006.865
292.17,       1019.117
292.62,       1022.555
293.08,       1023.883
293.53,       1018.594
293.98,       1005.084
294.44,       987.0984
294.89,        1008.72
295.35,       1056.024
295.80,       1197.114
296.26,       1665.248
296.71,       2582.914
297.17,       4872.716
297.62,       7258.846
298.08,        3599.12
298.53,        1333.22
298.99,       1074.815
299.44,       1027.021
299.89,       1014.193
300.35,       1012.813
300.80,       1008.826
301.26,       1036.304
301.71,       1156.699
302.17,       1364.584
302.62,       1825.223
303.08,       2250.322
303.53,       1550.719
303.98,       1107.528
304.44,        1037.54
304.89,       1024.408
305.35,       1017.486
305.80,        1021.03
306.25,       1001.327
306.71,       991.7678
307.16,       1000.137
307.62,       1011.605
308.07,       1023.912
308.53,       1029.813
308.98,       1032.906
309.43,       1026.526
309.89,        1010.55
310.34,       1029.096
310.80,       1049.301
311.25,       1104.151
311.70,       1433.634
312.16,        2467.01
312.61,       4949.547
313.06,       10889.63
313.52,       18322.06
313.97,       19297.86
314.43,       9713.203
314.88,       2220.853
315.33,       1222.145
315.79,       1090.784
316.24,       1051.233
316.69,       1038.532
317.15,       1016.499
317.60,       986.4465
318.05,       987.6884
318.51,       1004.136
318.96,       1006.663
319.42,        1007.39
319.87,       994.7612
320.32,       978.3657
320.78,       963.8324
321.23,       960.6833
321.68,       967.7101
322.14,       973.7841
322.59,        974.798
323.04,       968.3597
323.50,       957.0004
323.95,       951.1182
324.40,       951.6764
324.85,       951.5148
325.31,       949.7043
325.76,       948.2928
326.21,       947.0784
326.67,       945.8652
327.12,       944.3871
327.57,       941.9103
328.03,       938.4176
328.48,        934.538
328.93,        931.543
329.39,       929.6259
329.84,       928.5767
330.29,       932.0464
330.74,       937.6711
331.20,       930.6036
331.65,       912.3407
332.10,       912.3062
332.56,        920.666
333.01,       925.5971
333.46,       979.1875
333.91,        1084.53
334.37,       1296.824
334.82,       1746.056
335.27,       1574.868
335.72,        1035.83
336.18,       954.6934
336.63,       930.0632
337.08,        905.748
337.53,       903.7514
337.99,       908.4149
338.44,        912.361
338.89,       929.0135
339.34,       928.7714
339.80,       917.3566
340.25,       908.7402
340.70,       905.9963
341.15,        908.642
341.61,         914.48
342.06,       916.6456
342.51,       914.3806
342.96,       912.9366
343.42,       913.1318
343.87,       913.4469
344.32,       914.0356
344.77,       915.2001
345.22,       916.7488
345.68,       918.4498
346.13,       920.1977
346.58,       921.9696
347.03,       923.7077
347.48,       925.3991
347.94,       927.0291
348.39,       928.5267
348.84,       930.0347
349.29,       931.8162
349.74,       933.9439
350.20,       936.4191
350.65,       939.0161
351.10,       941.3591
351.55,       943.3857
352.00,       945.2194
352.45,       947.3488
352.91,        950.433
353.36,       954.7382
353.81,       960.2931
354.26,       966.1804
354.71,       971.1273
355.16,       974.4413
355.62,       975.5419
356.07,        976.393
356.52,        979.499
356.97,        985.011
357.42,       995.3658
357.87,       1006.208
358.32,       1003.624
358.77,       991.5152
359.23,       988.2059
359.68,       996.7122
360.13,        1010.68
360.58,       1025.476
361.03,       1034.795
361.48,       1045.321
361.93,       1041.221
362.38,       1030.857
362.84,       1061.912
363.29,       1093.253
363.74,        1172.53
364.19,       1640.038
364.64,       3122.652
365.09,       6541.039
365.54,       16906.17
365.99,       25967.53
366.44,        13154.6
366.89,       6123.105
367.35,       4838.992
367.80,       1982.297
368.25,       1226.976
368.70,       1145.652
369.15,       1107.412
369.60,         1078.8
370.05,       1064.236
370.50,       1069.203
370.95,       1072.142
371.40,       1074.866
371.85,       1075.129
372.30,       1070.004
372.75,       1059.546
373.20,       1047.538
373.65,       1045.951
374.11,       1053.654
374.56,       1060.475
375.01,       1062.913
375.46,       1058.831
375.91,       1050.401
376.36,       1046.761
376.81,       1048.836
377.26,       1050.454
377.71,       1050.812
378.16,       1051.773
378.61,       1053.009
379.06,       1053.872
379.51,       1054.267
379.96,       1054.082
380.41,       1053.298
380.86,       1052.058
381.31,       1050.428
381.76,       1048.491
382.21,       1046.454
382.66,       1044.486
383.11,       1043.016
383.56,       1042.664
384.01,       1043.486
384.46,       1045.209
384.91,       1047.401
385.36,       1049.309
385.81,        1050.72
386.26,       1051.974
386.71,       1052.979
387.16,       1053.607
387.61,       1054.033
388.06,       1054.277
388.51,       1055.256
388.96,       1058.473
389.41,       1064.003
389.85,       1071.145
390.30,       1078.382
390.75,       1083.318
391.20,        1085.24
391.65,       1084.791
392.10,       1082.923
392.55,       1081.147
393.00,       1080.278
393.45,       1080.331
393.90,       1080.929
394.35,       1081.654
394.80,       1082.041
395.25,       1081.353
395.70,       1081.222
396.15,        1083.67
396.59,       1088.462
397.04,       1097.689
397.49,       1107.062
397.94,       1103.192
398.39,       1090.084
398.84,       1085.815
399.29,       1093.392
399.74,        1106.36
400.19,       1120.005
400.64,        1127.65
401.08,       1135.508
401.53,       1126.793
401.98,       1116.392
402.43,       1135.509
402.88,       1166.377
403.33,       1230.173
403.78,       1610.431
404.23,        3032.96
404.67,       6328.456
405.12,       17365.31
405.57,       28401.34
406.02,       9911.854
406.47,       2102.626
406.92,        1339.41
407.37,       1338.669
407.81,       1581.051
408.26,       2445.379
408.71,       3208.787
409.16,        1759.82
409.61,       1201.827
410.06,       1130.429
410.50,       1102.256
410.95,       1085.735
411.40,       1087.223
411.85,       1081.974
412.30,       1084.749
412.74,       1098.268
413.19,       1097.978
413.64,       1086.213
414.09,       1071.526
414.54,       1059.522
414.98,       1061.944
415.43,       1075.135
415.88,       1079.298
416.33,       1072.495
416.78,       1066.014
417.22,       1061.865
417.67,       1058.533
418.12,       1056.673
418.57,       1056.004
419.02,       1056.193
419.46,       1057.244
419.91,       1058.827
420.36,       1060.665
420.81,       1062.181
421.25,       1062.582
421.70,       1061.652
422.15,       1059.537
422.60,       1056.763
423.04,       1054.195
423.49,       1052.263
423.94,       1051.038
424.39,       1050.245
424.83,       1049.245
425.28,       1047.506
425.73,       1045.372
426.18,       1043.926
426.62,       1041.918
427.07,       1040.407
427.52,       1047.313
427.96,       1058.153
428.41,       1054.892
428.86,       1041.377
429.31,       1037.231
429.75,       1045.802
430.20,       1063.028
430.65,       1083.069
431.09,       1092.799
431.54,       1093.775
431.99,       1091.018
432.43,       1109.281
432.88,       1124.752
433.33,       1179.523
433.77,       1243.009
434.22,        1335.61
434.67,       1648.087
435.11,       2882.777
435.56,       6888.587
436.01,       16582.03
436.45,       49308.15
436.90,       56482.09
437.35,       12872.75
437.79,       2468.549
438.24,       1439.204
438.69,        1303.69
439.13,       1263.256
439.58,       1195.536
440.03,       1120.149
440.47,       1098.749
440.92,       1101.425
441.37,       1085.635
441.81,       1085.839
442.26,       1075.886
442.70,       1061.317
443.15,       1044.288
443.60,       1033.757
444.04,        1031.68
444.49,       1038.815
444.93,       1048.813
445.38,       1041.462
445.83,       1020.209
446.27,        1011.17
446.72,       1015.774
447.16,       1017.861
447.61,       1015.232
448.06,        1012.32
448.50,        1008.61
448.95,       1002.733
449.39,       996.0559
449.84,       990.9918
450.28,       988.0497
450.73,       986.6954
451.18,       985.7722
451.62,       983.2775
452.07,       978.7546
452.51,       972.9423
452.96,       966.8392
453.40,       961.9556
453.85,        958.683
454.29,       956.4711
454.74,        954.561
455.19,       951.7859
455.63,       947.8191
456.08,       943.0906
456.52,       938.0738
456.97,       933.4776
457.41,       929.5675
457.86,       926.1473
458.30,       923.0511
458.75,       920.0415
459.19,       917.0321
459.64,       914.1095
460.08,       911.4125
460.53,       909.1188
460.97,       907.2374
461.42,       905.6921
461.86,       904.1909
462.31,       902.2897
462.75,       899.9413
463.20,       897.3204
