LineID,Wavelength_nm,Order,MasterSource
WL296.730000_O1,296.73,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL302.150000_O1,302.15,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL313.154000_O1,313.154,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL334.150000_O1,334.15,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL365.010000_O1,365.01,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL404.660000_O1,404.66,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL435.834000_O1,435.834,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL491.607000_O1,491.607,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL546.075000_O1,546.075,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL576.960000_O1,576.96,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL579.070000_O1,579.07,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL696.540000_O1,696.54,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL706.720000_O1,706.72,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL714.700000_O1,714.7,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL727.290000_O1,727.29,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL738.400000_O1,738.4,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL750.390000_O1,750.39,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL763.510000_O1,763.51,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL772.400000_O1,772.4,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL794.820000_O1,794.82,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL800.616000_O1,800.616,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL811.530000_O1,811.53,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL826.450000_O1,826.45,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL840.820000_O1,840.82,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL852.140000_O1,852.14,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL912.300000_O1,912.3,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL922.450000_O1,922.45,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL965.778000_O1,965.778,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
WL1013.980000_O1,1013.98,1,C:\Ddisk\spectralsoftpj\characterization4spectrometer\WC4SM_V0_2F_package\HgAr_Avantes_Example.lit
