OldLineID,OldAvantesWavelength_nm,NISTWavelength_nm,Delta_NIST_minus_Avantes_nm,Species,NISTRelativeIntensity
WL296.730000_O1,296.73,296.728,-0.0020,Hg,250
WL302.150000_O1,302.15,302.1498,-0.0002,Hg,70
WL313.154000_O1,313.154,313.1548,0.0008,Hg,80
WL334.150000_O1,334.15,334.1484,-0.0016,Hg,60
WL365.010000_O1,365.01,365.0153,0.0053,Hg,600
WL404.660000_O1,404.66,404.6563,-0.0037,Hg,400
WL435.834000_O1,435.834,435.8328,-0.0012,Hg,1000
WL491.607000_O1,491.607,491.6068,-0.0002,Hg,10
WL546.075000_O1,546.075,546.0735,-0.0015,Hg,500
WL576.960000_O1,576.96,576.9598,-0.0002,Hg,50
WL579.070000_O1,579.07,579.0663,-0.0037,Hg,60
WL696.540000_O1,696.54,696.5431,0.0031,Ar,300
WL706.720000_O1,706.72,706.7218,0.0018,Ar,300
WL714.700000_O1,714.7,714.7042,0.0042,Ar,30
WL727.290000_O1,727.29,727.2936,0.0036,Ar,60
WL738.400000_O1,738.4,738.398,-0.0020,Ar,300
WL750.390000_O1,750.39,750.3869,-0.0031,Ar,600
WL763.510000_O1,763.51,763.5106,0.0006,Ar,700
WL772.400000_O1,772.4,772.4207,0.0207,Ar,300
WL794.820000_O1,794.82,794.8176,-0.0024,Ar,600
WL800.616000_O1,800.616,800.6157,-0.0003,Ar,600
WL811.530000_O1,811.53,811.5311,0.0011,Ar,1000
WL826.450000_O1,826.45,826.4522,0.0022,Ar,300
WL840.820000_O1,840.82,840.821,0.0010,Ar,400
WL852.140000_O1,852.14,852.1442,0.0042,Ar,400
WL912.300000_O1,912.3,912.2967,-0.0033,Ar,1000
WL922.450000_O1,922.45,922.4499,-0.0001,Ar,400
WL965.778000_O1,965.778,965.7786,0.0006,Ar,700
WL1013.980000_O1,1013.98,1013.976,-0.0040,Hg,200
