LineID,Wavelength_nm,Order,MasterSource
WL296.728000_O1,296.728,1,NIST_ASD_HgAr_20260729.lit
WL302.149800_O1,302.1498,1,NIST_ASD_HgAr_20260729.lit
WL313.154800_O1,313.1548,1,NIST_ASD_HgAr_20260729.lit
WL334.148400_O1,334.1484,1,NIST_ASD_HgAr_20260729.lit
WL365.015300_O1,365.0153,1,NIST_ASD_HgAr_20260729.lit
WL404.656300_O1,404.6563,1,NIST_ASD_HgAr_20260729.lit
WL435.832800_O1,435.8328,1,NIST_ASD_HgAr_20260729.lit
WL491.606800_O1,491.6068,1,NIST_ASD_HgAr_20260729.lit
WL546.073500_O1,546.0735,1,NIST_ASD_HgAr_20260729.lit
WL576.959800_O1,576.9598,1,NIST_ASD_HgAr_20260729.lit
WL579.066300_O1,579.0663,1,NIST_ASD_HgAr_20260729.lit
WL696.543100_O1,696.5431,1,NIST_ASD_HgAr_20260729.lit
WL706.721800_O1,706.7218,1,NIST_ASD_HgAr_20260729.lit
WL714.704200_O1,714.7042,1,NIST_ASD_HgAr_20260729.lit
WL727.293600_O1,727.2936,1,NIST_ASD_HgAr_20260729.lit
WL738.398000_O1,738.398,1,NIST_ASD_HgAr_20260729.lit
WL750.386900_O1,750.3869,1,NIST_ASD_HgAr_20260729.lit
WL763.510600_O1,763.5106,1,NIST_ASD_HgAr_20260729.lit
WL772.420700_O1,772.4207,1,NIST_ASD_HgAr_20260729.lit
WL794.817600_O1,794.8176,1,NIST_ASD_HgAr_20260729.lit
WL800.615700_O1,800.6157,1,NIST_ASD_HgAr_20260729.lit
WL811.531100_O1,811.5311,1,NIST_ASD_HgAr_20260729.lit
WL826.452200_O1,826.4522,1,NIST_ASD_HgAr_20260729.lit
WL840.821000_O1,840.821,1,NIST_ASD_HgAr_20260729.lit
WL852.144200_O1,852.1442,1,NIST_ASD_HgAr_20260729.lit
WL912.296700_O1,912.2967,1,NIST_ASD_HgAr_20260729.lit
WL922.449900_O1,922.4499,1,NIST_ASD_HgAr_20260729.lit
WL965.778600_O1,965.7786,1,NIST_ASD_HgAr_20260729.lit
WL1013.976000_O1,1013.976,1,NIST_ASD_HgAr_20260729.lit
