LineID,Wavelength_nm,Order,MasterSource
WL253.651700_O1,253.6517,1,NIST_ASD_HgAr_20260910.lit
WL265.367900_O1,265.3679,1,NIST_ASD_HgAr_20260910.lit
WL275.277700_O1,275.2777,1,NIST_ASD_HgAr_20260910.lit
WL280.346600_O1,280.3466,1,NIST_ASD_HgAr_20260910.lit
WL289.360100_O1,289.3601,1,NIST_ASD_HgAr_20260910.lit
WL292.541400_O1,292.5414,1,NIST_ASD_HgAr_20260910.lit
WL296.728000_O1,296.728,1,NIST_ASD_HgAr_20260910.lit
WL302.149800_O1,302.1498,1,NIST_ASD_HgAr_20260910.lit
WL312.566800_O1,312.5668,1,NIST_ASD_HgAr_20260910.lit
WL313.154800_O1,313.1548,1,NIST_ASD_HgAr_20260910.lit
WL313.183900_O1,313.1839,1,NIST_ASD_HgAr_20260910.lit
WL334.148400_O1,334.1484,1,NIST_ASD_HgAr_20260910.lit
WL365.015300_O1,365.0153,1,NIST_ASD_HgAr_20260910.lit
WL390.637100_O1,390.6371,1,NIST_ASD_HgAr_20260910.lit
WL404.656300_O1,404.6563,1,NIST_ASD_HgAr_20260910.lit
WL407.783700_O1,407.7837,1,NIST_ASD_HgAr_20260910.lit
WL415.859000_O1,415.859,1,NIST_ASD_HgAr_20260910.lit
WL416.418000_O1,416.418,1,NIST_ASD_HgAr_20260910.lit
WL435.832800_O1,435.8328,1,NIST_ASD_HgAr_20260910.lit
WL491.606800_O1,491.6068,1,NIST_ASD_HgAr_20260910.lit
WL546.073500_O1,546.0735,1,NIST_ASD_HgAr_20260910.lit
WL567.581000_O1,567.581,1,NIST_ASD_HgAr_20260910.lit
WL567.710500_O1,567.7105,1,NIST_ASD_HgAr_20260910.lit
WL576.959800_O1,576.9598,1,NIST_ASD_HgAr_20260910.lit
WL579.066300_O1,579.0663,1,NIST_ASD_HgAr_20260910.lit
WL611.492300_O1,611.4923,1,NIST_ASD_HgAr_20260910.lit
WL612.327000_O1,612.327,1,NIST_ASD_HgAr_20260910.lit
WL623.436000_O1,623.436,1,NIST_ASD_HgAr_20260910.lit
WL641.630700_O1,641.6307,1,NIST_ASD_HgAr_20260910.lit
WL667.728200_O1,667.7282,1,NIST_ASD_HgAr_20260910.lit
WL671.634000_O1,671.634,1,NIST_ASD_HgAr_20260910.lit
WL675.283400_O1,675.2834,1,NIST_ASD_HgAr_20260910.lit
WL687.128900_O1,687.1289,1,NIST_ASD_HgAr_20260910.lit
WL690.746000_O1,690.746,1,NIST_ASD_HgAr_20260910.lit
WL696.543100_O1,696.5431,1,NIST_ASD_HgAr_20260910.lit
WL703.025100_O1,703.0251,1,NIST_ASD_HgAr_20260910.lit
WL706.721800_O1,706.7218,1,NIST_ASD_HgAr_20260910.lit
WL714.704200_O1,714.7042,1,NIST_ASD_HgAr_20260910.lit
WL727.293600_O1,727.2936,1,NIST_ASD_HgAr_20260910.lit
WL738.398000_O1,738.398,1,NIST_ASD_HgAr_20260910.lit
WL750.386900_O1,750.3869,1,NIST_ASD_HgAr_20260910.lit
WL751.465200_O1,751.4652,1,NIST_ASD_HgAr_20260910.lit
WL763.510600_O1,763.5106,1,NIST_ASD_HgAr_20260910.lit
WL772.420700_O1,772.4207,1,NIST_ASD_HgAr_20260910.lit
WL794.817600_O1,794.8176,1,NIST_ASD_HgAr_20260910.lit
WL800.615700_O1,800.6157,1,NIST_ASD_HgAr_20260910.lit
WL801.478600_O1,801.4786,1,NIST_ASD_HgAr_20260910.lit
WL810.369300_O1,810.3693,1,NIST_ASD_HgAr_20260910.lit
WL811.531100_O1,811.5311,1,NIST_ASD_HgAr_20260910.lit
WL826.452200_O1,826.4522,1,NIST_ASD_HgAr_20260910.lit
WL840.821000_O1,840.821,1,NIST_ASD_HgAr_20260910.lit
WL842.464800_O1,842.4648,1,NIST_ASD_HgAr_20260910.lit
WL852.144200_O1,852.1442,1,NIST_ASD_HgAr_20260910.lit
WL866.794400_O1,866.7944,1,NIST_ASD_HgAr_20260910.lit
WL912.296700_O1,912.2967,1,NIST_ASD_HgAr_20260910.lit
WL922.449900_O1,922.4499,1,NIST_ASD_HgAr_20260910.lit
WL929.153100_O1,929.1531,1,NIST_ASD_HgAr_20260910.lit
WL935.422000_O1,935.422,1,NIST_ASD_HgAr_20260910.lit
WL965.778600_O1,965.7786,1,NIST_ASD_HgAr_20260910.lit
WL978.450300_O1,978.4503,1,NIST_ASD_HgAr_20260910.lit
WL1013.976000_O1,1013.976,1,NIST_ASD_HgAr_20260910.lit
WL1047.005000_O1,1047.005,1,NIST_ASD_HgAr_20260910.lit
WL1067.357000_O1,1067.357,1,NIST_ASD_HgAr_20260910.lit
